combat,durability,intelligence,name,power,speed,strength,base,id,occupation,relatives,aliases,alignment,alter-egos,full-name,publisher
null,null,null,Cecilia Reyes,null,null,null,Salem Center,166,Doctor in private practice,-,['-'],good,No alter egos found.,Dr. Cecilia Reyes,Marvel Comics
100,64,88,Century,100,53,80,-,167,"Tracker, adventurer",-,['-'],good,No alter egos found.,,Marvel Comics
null,null,null,Cerebra,null,null,57,-,168,-,Zail Haddad (father),['-'],good,No alter egos found.,Shakti Haddad,Marvel Comics
64,80,50,Chamber,57,20,10,"Utopia; formerly New Warriors HQ; Xavier Institute for Higher Learning, Salem Center, Westchester County, New York; Massachusetts Academy, Snow Valley, Massachusetts",169,Adventurer,-,"['Decibel', 'Jono', 'Jono Hex']",good,No alter egos found.,Jonothon Evan Starsmore,Marvel Comics
28,28,88,Chameleon,28,12,10,-,170,-,"Kravinoff Patriarch (father, deceased), mother (unnamed), Sergei Kravinoff (Kraven I, half-brother, deceased), Vladimir Kravinoff (The Grim Hunter, nephew, deceased), Alyosha Kravinoff (Kraven the Hunter, nephew), Ned Tannengarden (nephew, deceased)","['Dr. Ashley Kafka', 'Dr. Turner', 'J. Jonah Jameson', 'Torpedo', 'Rick Jones', 'Dr. Henry Pym', 'Peter Parker', 'Captain George Stacy', 'Dr. Robert Bruce Banner', 'General']",bad,No alter egos found.,Dmitri Anatoly Smerdyakov Kravinoff,DC Comics
64,42,63,Changeling,64,23,10,-,171,"Former substitute teacher, adventurer, subversive",-,"['Professor X', 'Professor Charles Xavier']",bad,No alter egos found.,Kevin Sidney,Marvel Comics
70,20,38,Cheetah,32,42,8,-,172,-,"Claudia Rich (cousin), Debi Domaine (niece)","['Kay Carlton', 'The Cheetah']",bad,No alter egos found.,Priscilla Rich,DC Comics
60,20,38,Cheetah II,39,42,20,"Chesapeake Bay, Maryland",173,-,"Priscilla Rich (Cheetah I, aunt), Claudia Rich (aunt)","['Debbi', 'The Cheetah']",bad,No alter egos found.,Deborah Domaine,DC Comics
95,80,88,Cheetah III,78,88,100,"Nottingham, England",174,"Archaeologist, Anthropologist",-,"['Barbara Minerva', 'Bride of Urzkartaga', 'Priscilla Rich', 'Deborah Domaine', 'Sabrina Ballesteros']",bad,No alter egos found.,Barbara Minerva,DC Comics
null,null,null,Chromos,null,null,null,"Toronto, Canada",175,"Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.","Hi-Jaq (daughter), Exile (son)",['-'],bad,No alter egos found.,Bernard Embers,Team Epic TV
99,56,50,Chuck Norris,42,47,80,-,176,-,-,['Chuck'],good,No alter egos found.,Carlos Ray Norris,null
60,100,50,Citizen Steel,23,33,95,"Battery Park, New York City, formerly Franklin County, Ohio",177,"Adventurer, former Professional Football Player","Hank Heywood, Sr. (Commander Steel, grandfather, deceased) � Hank Heywood, Jr. (uncle, deceased) � Hank Heywood III (Steel, cousin, deceased) � Kirk Heywood (brother, deceased), Nicole (cousin)","['Buckeye', 'Uncle Nate', 'Uncle Nathan']",good,No alter egos found.,Nathan Heywood,DC Comics
28,100,38,Claire Bennet,90,12,9,"formerly Odessa, TX, Costa Verde, CA",178,"High school student, cheerleader","Adoptive parents: Sandra Bennet, Noah Bennet, Biological parents: Meredith Gordon, Nathan Petrelli, Younger adoptive brother: Lyle Bennet,  Younger half brothers: Simon Petrelli, Monty Petrelli","['Vivian Lewis', 'Claire Butler']",good,No alter egos found.,Claire Bennet,NBC - Heroes
null,null,null,Clea,null,null,39,Base of operations unknown,179,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,"Dormammu (uncle), Umar (mother)",['-'],good,No alter egos found.,Clea,Marvel Comics
56,64,63,Cloak,100,47,10,"Holy Ghost Church, 42nd Street, New York City",180,Vigilante,Smokin' Joe (rumored grandfather),['-'],good,No alter egos found.,Tyrone Johnson,Marvel Comics
40,10,75,Clock King,7,17,10,-,181,-,"Beverly (sister, deceased)",['Tempus Fugit'],bad,No alter egos found.,William Tockman,DC Comics
null,null,null,Cogliostro,null,null,null,-,182,-,-,"['Nicholas Cogliostro', 'Cog', 'The Count']",bad,No alter egos found.,Cain,Image Comics
null,null,null,Colin Wagner,null,null,null,-,183,-,-,['-'],good,No alter egos found.,,HarperCollins
null,null,null,Colossal Boy,null,null,null,-,184,-,-,['-'],good,No alter egos found.,,DC Comics
80,100,63,Colossus,45,33,83,"(current) Professor Charles Xavier's Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Isle, Scotland,; a loft in Soho, Manhattan, Ust-Ordynski Collective, Lake Baikal, Siberia, U.S.S.R., X-Men Headquarters in Austra",185,"(current) Adventurer, student, (former) Artist","Grigory Efimovich Rasputin (great-grandfather, deceased), Elena (great-grandmother, deceased), Ivan Rasputin (great-grand uncle, deceased), Grigory Rasputin (grandfather, deceased), Nikolai Rasputin (father, deceased), Alexandra Rasputina (mother, deceased), Vladimir Rasputin (uncle, deceased), unidentified aunt & uncle (deceased), Illyana Nikolievna Rasputina (Magik, sister, deceased), Mikhail Rasputin (brother), Peter Jr. (son), Larissa Mishchenko (cousin, deceased), Konstantin (cousin, deceased), Klara (cousin, deceased), Dimitriy (cousin, deceased)","['Pete', 'Peter Nicholas', 'The Proletarian', 'Little Brother']",good,No alter egos found.,Piotr Nikolaievitch Rasputin,Marvel Comics
60,25,56,Copycat,54,21,10,"Mobile; formerly Adirondack Mountains, Xavier's School for Gifted Youngsters",186,-,"Burt Carlysle (father, deceased), Dorothy Carlysle (mother)","['Nurse Veronica', 'Patricia Muggins', 'Titania', 'Garrison Kane', 'Christina Valentino', 'Domino', 'Cheryl Marks', 'Debbie', 'Marguerite', 'Amy']",neutral,No alter egos found.,Vanessa Carlysle,Marvel Comics
null,null,null,Corsair,null,null,16,"The Starjammer, Mobile",187,"Pirate, former pilot","Philip Summers (father), Deborah Summers (mother), Katherine Anne Summers (wife, deceased), Hepzibah (mate), Scott Summers (Cyclops, son), Alexander Summers (Havok, son), Gabriel Summers (Vulcan, son), Madelyne Pryor-Summers (daughter-in-law, deceased), Jean Grey-Summers (Phoenix, daughter-in-law), Nathan Christopher Summers (Cable, grandson), Stryfe (clone grandson, deceased), Tyler Dayspring (Genesis, great-grandson, deceased), Rachel Grey (Marvel Girl, alternate timeline granddaughter)",['-'],good,No alter egos found.,Christopher Summers,Marvel Comics
25,10,50,Cottonmouth,27,8,10,Serpent Citadel,188,Professional criminal,-,['Quincy McIver'],bad,No alter egos found.,Burchell Clemens,Marvel Comics
null,null,null,Crimson Crusader,null,null,58,-,189,-,"Adam Destine (father), unnamed genie (mother), Albert Destine (brother), Samantha Destine (Argent, sister), William Destine (Cap'n Oz, brother), Kay Cera (Cuckoo, sister), Florence Destine (sister, deceased), Gracie Destine (sister, deceased), Dominic Destine (Hex, brother), Pandora Destine (Imp, sister), Maurice Destine (brother, deceased), Newton Destine (brother), Vincent Destine (brother, deceased), Walter Destine (Wallop, brother)",['-'],good,No alter egos found.,Rory Destine,Marvel Comics
null,null,null,Crimson Dynamo,null,null,65,"Stark Industries plant, Long Island, New York",190,Scientist,-,['Krashni Denamit'],good,No alter egos found.,Anton Vanko,Marvel Comics
56,14,63,Crystal,61,12,16,-,191,"Mother, adventuress","Quelin (father), Ambur (mother), Medusa (sister), Gorgon, Karnak, Triton (cousins), Black Bolt (cousin, brother-in-law), Pietro Maximoff (Quicksilver, estranged husband), Luna (daughter), Ahura (nephew), extensive extended family","['Crys', 'Exquisite Elemental']",good,No alter egos found.,Crystallia Amaquelin,Marvel Comics
null,null,null,Curse,null,null,null,-,192,-,-,['-'],bad,No alter egos found.,Phillip Krahn,Image Comics
null,null,null,Cy-Gor,null,null,96,-,193,-,-,['-'],bad,No alter egos found.,,Image Comics
64,85,75,Cyborg,71,42,53,San Francisco,194,"Adventurer, Teen Titan","Silas Stone (father), Elinore Stone (mother), Tucker Stone (grandfather), Maude Stone (grandmother)","['Cyberion Technis', 'Omegadrome', 'Planet Cyberion']",good,No alter egos found.,Victor Stone,DC Comics
80,100,75,Cyborg Superman,100,92,93,"Warworld, Qward, Antimatter Universe, formerly Biot, Sector 3601",195,-,"Terri Henshaw (wife, deceased)","['Grandmaster of the Manhunters', 'Herald of the Anti-Monitor', 'Alpha-Prime of the Alpha Lanterns']",bad,No alter egos found.,Henry Henshaw,DC Comics
80,42,75,Cyclops,76,23,10,"Xavier Institute, Salem Center, Westchester County, New York",196,"Leader of mutant race, adventurer, headmaster, former student, radio announcer","Oscar Summers (adoptive paternal distant ancestor, deceased); Daniel Summers (paternal distant ancestor, deceased); Amanda Mueller (Black Womb) (paternal distant ancestor); unnamed great-grandfather, deceased; Gloria Dayne (Fontanelle) (paternal distant ancestor); Philip Summers (paternal grandfather); Deborah Summers (paternal grandmother); Christopher Summers (Corsair) (father, deceased); Katherine Ann Summers (mother, deceased); Jack Winters (Jack O'Diamonds) (former foster father); Alexander Summers (Havok) (brother); Gabriel Summers (Vulcan) (brother, deceased); Madelyne Pryor-Summers (Red Queen) (first wife\/second wife's clone, deceased); Jean Grey-Summers (Phoenix) (second wife, deceased); Nathan Summers (Cable) (son, deceased); Gailyn Bailey (niece, deceased); Joseph Bailey (nephew, deceased); Adam Neramani (X-Treme) (nephew, alleged half-brother); Hope Summers (adoptive granddaughter); Stryfe (son's clone); Summers and Grey Family Tree (more relatives)","['Scotty', 'Cyke', 'Slim', 'Fearless Leader', 'One-Eye', 'Erik the Red', 'Slym Dayspring', 'Mutate 007', 'Apocalypse']",good,No alter egos found.,Scott Summers,Marvel Comics
null,null,null,Cypher,null,null,44,"Professor Charles Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York",197,"Student, Adventurer","Phillip Ramsey (father), Sheila Ramsey (mother)",['-'],good,No alter egos found.,Douglas Aaron Ramsey,Marvel Comics
70,42,63,Dagger,52,35,10,"Holy Ghost Church, 42nd Street, New York City",198,Vigilante,"Melissa Bowen (mother), unnamed father, Phillip Carlisle (stepfather), Father Michael Bowen (uncle)",['Lady Light'],good,No alter egos found.,Tandy Bowen,Marvel Comics
null,null,null,Danny Cooper,null,null,null,-,199,-,-,['-'],good,No alter egos found.,,HarperCollins
10,10,38,Daphne Powell,56,8,10,-,200,Student,"Jim Powell and Stephanie Powell (parents), JJ Powell (brother)",['-'],good,No alter egos found.,Daphne Powell,ABC Studios
100,35,75,Daredevil,61,25,13,"Hell's Kitchen, New York, New York, Shadowland (formerly)",201,"Adventurer, vigilante, Attorney at Law","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)","['Matt', 'Jack Batlin', 'Kingpin of Crime', 'Laurent LeVasseur', 'Michael ""Mike"" Murdock', 'Scarlet Swashbuckler', 'Nameless One', ""Kingpin of Hell's Kitchen"", 'The Man Without Fear', 'The Guardian Devil', 'DD', 'Red', 'Hornhead', 'Cooper Peyton', 'Captain Universe']",good,No alter egos found.,Matt Murdock,Marvel Comics
64,70,50,Darkhawk,74,33,32,"Los Angeles, California; formerly New York City and Avengers Compound",202,Retired Superhero,"Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)","['Bucket-Head', 'Edge-Man', 'Powell']",good,No alter egos found.,Christopher Powell,Marvel Comics
28,85,75,Darkman,12,23,14,-,203,Scientist,Julie Hastings (girlfriend),['-'],good,No alter egos found.,Peyton Westlake,Universal Studios
95,100,88,Darkseid,100,83,100,-,204,Dictator of Apokolips,"Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew\/adopted son)",['Dark God'],bad,No alter egos found.,Uxas,DC Comics
null,null,null,Darkside,null,null,null,-,205,-,-,['-'],bad,No alter egos found.,,null
64,42,38,Darkstar,79,35,8,"(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States",206,Occupation unknown,"Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",['Tyomni Zvesda'],good,No alter egos found.,Laynia Petrovna,Marvel Comics
100,30,56,Darth Maul,100,50,48,-,207,-,Darth Sidious (Master),"['Sith', 'Master Of The Double-Bladed Lightsaber']",bad,No alter egos found.,,George Lucas
100,35,69,Darth Vader,100,33,48,Death Star,208,"Sith Lord, Supreme Commander of the Imperial Fleet","Luke Skywalker (Son), Princess Leia (Daughter)",['Lord Vader'],bad,No alter egos found.,Anakin Skywalker,George Lucas
30,60,25,Dash,20,92,12,-,209,-,"Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)","['The Fastest Kid on Earth', 'The Dash']",good,No alter egos found.,Dashiell Robert Parr,Dark Horse Comics
50,40,100,Data,56,21,32,-,210,Lieutenant commander,Dr. Noonian Soong (creator),['B-4'],good,No alter egos found.,Data,Star Trek
55,60,63,Dazzler,100,33,10,-,211,"Adventurer, singer, former actress, model, revolutionary","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)","['Ali', 'The Disco Dazzler', 'Songbird', 'Dazz', 'Kimberly Schau', 'Ally']",good,No alter egos found.,Alison Blaire,Marvel Comics
42,100,50,Deadman,100,33,10,"Mobile, Realm of the Just Dead",212,"Wandering Spirit, Former Circus Aerialist","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",['-'],good,No alter egos found.,Boston Brand,DC Comics
100,100,69,Deadpool,100,50,32,"Cavern-X, Sedona, Arizona, Mobile",213,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)","['Wade Wilson', 'Jack', 'Chiyonosake (""the Wolf of the Rice Wine"")', 'Rhodes', 'Corpus', 'Lopez', 'Hobgoblin', 'Thom Cruz', 'Peter Parker']",neutral,"Evil Deadpool, Venompool",Wade Wilson,Evil Deadpool
80,28,50,Deadshot,55,23,10,-,214,-,-,"['Man Who Never Misses', 'Worlds Finest Assassin', 'Orlando Furioso']",bad,No alter egos found.,Floyd Lawton,DC Comics
60,70,69,Deathlok,40,30,32,New York area,215,-,"Janice (Wife, seperated), Richard (son)",['Demolisher'],good,No alter egos found.,Luther Manning,Marvel Comics
90,100,75,Deathstroke,47,35,30,The Labyrinth (exact location is currently unknown),216,"Mercenary; Former Soldier, Big-Game Hunter","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)","['Slade Wilson', 'Deathstroke the Terminator', 'Batman']",neutral,No alter egos found.,Slade Joseph Wilson,DC Comics
60,35,50,Demogoblin,67,42,48,New York City,217,Demonic Redeemer,-,['Jason Macendale Jr'],bad,No alter egos found.,,Marvel Comics
70,98,50,Destroyer,85,58,95,-,218,-,-,['-'],bad,No alter egos found.,,Marvel Comics
60,28,44,Diamondback,45,23,16,-,219,Criminal,-,['-'],bad,No alter egos found.,Willis Stryker,Marvel Comics
56,56,50,DL Hawkins,48,12,12,"Las Vegas, NV",220,"Construction worker, Firefighter","Niki Sanders (wife), Micah Sanders (son), Paulette Hawkins (mother), Monica Dawson (cousin), Damon Dawson (cousin)",['-'],good,No alter egos found.,Daniel Lawrence Hawkins,NBC - Heroes
70,80,75,Doc Samson,36,33,80,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",221,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",Leonard Skivorski (father); Ricky Myers (son);,['-'],good,No alter egos found.,Leonard Samson,Marvel Comics
84,100,100,Doctor Doom,100,20,32,"Castle Doom, Doomstadt, Latveria",222,Monarch,"Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father\/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)","['The Master', 'Invincible Man']",bad,No alter egos found.,Victor von Doom,Marvel Comics
null,null,null,Doctor Doom II,null,null,null,"Former monarch, would-be conqueror",223,-,"unnamed mother (deceased), Mister Fantastic (alleged half-brother), Valeria Richards (alleged niece), Victor von Doom (aka Doctor Doom, adopted father)","['Victor Von Doom', 'Dr Doom']",bad,No alter egos found.,Kristoff Vernard,Marvel Comics
50,80,81,Doctor Fate,100,25,16,"Tower of Fate, Salem, Massachusetts",224,-,"Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",['Nabu'],good,No alter egos found.,Kent Nelson,DC Comics
65,40,94,Doctor Octopus,53,33,48,New York City,225,"Former atomic-research consultant, criminal mastermind",-,"['Doctor Octopus', 'Doc Ock', 'The Master Planner', 'The Master Programmer', 'Peter Benjamin Parker', 'Superior Spider-Man', 'Venom', 'Superior Venom']",bad,No alter egos found.,Otto Octavius,Marvel Comics
60,84,100,Doctor Strange,100,12,10,-,226,"Sorcerer Supreme, retired neurosurgeon","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)","['Sorcerer Supreme', 'Master of the Mystic Arts', 'Stephen Sanders', 'Captain Universe', 'Vincent Stevens']",good,No alter egos found.,Stephen Strange,Marvel Comics
74,28,63,Domino,49,27,10,-,227,-,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)","['Dom', 'Samantha Wu', 'Tamara Winter', 'Elena Vladescu', 'Jessica Marie Costello', 'Luisa Mendoza', 'Beatrice', 'Christina Elizabeth Alioso', 'Priscilla Sutherland', 'Hope Eldridge']",good,No alter egos found.,Neena Thurman,Marvel Comics
75,60,88,Donatello,58,46,14,-,228,-,"Leonardo (brother), Michelangelo (brother), Raphael (brother)","['Don', 'Donnie']",good,No alter egos found.,,IDW Publishing
null,null,null,Donna Troy,null,null,89,-,229,-,-,"['Donna Troy', 'Wonder Girl', 'Darkstar', 'Wonder Woman', 'Troia']",good,No alter egos found.,Donna Hinckley Stacey Troy,DC Comics
90,100,75,Doomsday,100,67,100,-,230,Destroyer,-,['The Ultimate Lifeform'],bad,No alter egos found.,Doomsday,DC Comics
84,95,8,Doppelganger,69,60,63,-,231,-,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)","['The Spider-Man Doppelganger', 'Spider-Doppelganger', 'Mindless One']",bad,No alter egos found.,,Marvel Comics
80,100,88,Dormammu,100,83,95,-,232,"Despot, conqueror","Sinifer (parent\/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)","['The Dread One', 'Eater of Souls', 'Lord of Chaos', 'Lord of Darkness', 'the Great Enigma', 'Flyx']",bad,No alter egos found.,Dormammu,Marvel Comics
42,100,88,Dr Manhattan,100,42,100,New York City; formerly Mars,233,Scientist,-,"['Jon Osterman', 'Doctor Manhattan']",good,No alter egos found.,Jonathan Osterman,DC Comics
65,85,56,Drax the Destroyer,46,25,80,C.I.T.T.; formerly Monster Isle and Titan,234,-,"Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)",['-'],good,No alter egos found.,Arthur Sampson Douglas,Marvel Comics
28,99,88,Ego,71,83,80,Mobile,235,Inapplicable,Inapplicable,['The Living Planet'],bad,No alter egos found.,Ego,Marvel Comics
70,95,63,Elastigirl,52,33,32,-,236,-,"Robert Parr(Mr Incredible, husband), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",['Mrs Incredible'],good,No alter egos found.,Helen Parr,Dark Horse Comics
64,56,69,Electro,67,50,10,-,237,Professional criminal,"Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)",['-'],bad,No alter egos found.,Maxwell Dillon,Marvel Comics
100,28,63,Elektra,59,30,11,-,238,"Assassin, adventurer, mercenary, former student, dancer","Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)",['Erynys (evil self)'],good,No alter egos found.,Elektra Natchios,Marvel Comics
42,42,50,Elle Bishop,63,12,8,-,239,Agent of the Company,Bob Bishop (Father),['Cindy'],bad,No alter egos found.,,NBC - Heroes
40,90,75,Elongated Man,44,33,10,"Opal City, Central City",240,Detective,"Sue Dibny (wife, deceased); Ken Dibny (brother); Jake Dibny (uncle); Jim (uncle-in-law)",['Alvin Burgson; Molder'],good,No alter egos found.,Ralph Dibny,DC Comics
42,90,75,Emma Frost,100,35,63,"(current) Emma Frost operates from the Massachusetts Academy, Snow Valley, Massachusetts, (former) Hellfire Club mansion in New York City, a home in the Berkshire Mountains in Massachusetts (near the Massachusetts Academy), and places of residence in vari",241,-,"Winston Frost (father), Hazel Frost (mother), Christian Frost (brother) Adrienne Frost (sister, deceased,) Cordelia Frost (sister)","['Storm', 'White Queen']",good,No alter egos found.,Emma Frost,Marvel Comics
40,60,63,Enchantress,100,25,14,-,242,Artist; Magician,-,"['Anita Soulfeeda', 'Soulsinger']",good,No alter egos found.,June Moone,DC Comics
null,null,null,Energy,null,null,null,-,243,-,-,['-'],good,No alter egos found.,,HarperCollins
null,null,null,ERG-1,null,null,null,-,244,-,-,['-'],good,No alter egos found.,,DC Comics
95,30,75,Ethan Hunt,26,29,11,-,245,"IMF Agent, Training Officer (former), Field Agent, Field Team Leader","Nathan Hunt (Father), Margaret Hunt (Mother), Donald Hunt (Uncle)",['-'],good,No alter egos found.,Ethan Hunt,null
50,100,50,Etrigan,100,17,85,Hell,246,-,"Belial (father), Raan va Daath (mother), Merlin (half Brother)",['Demon'],neutral,No alter egos found.,Jason Blood,DC Comics
100,100,69,Evil Deadpool,100,50,32,-,247,"Mercenary, Assasin",-,['Dreadpool'],bad,"Deadpool, Venompool",Wade Wilson,Deadpool
64,70,50,Evilhawk,85,33,32,(Formerly) planet Luq,248,Crimelord,-,['-'],bad,No alter egos found.,Dargin Bokk,Marvel Comics
70,28,63,Exodus,100,28,81,"Currently mobile, Formerly Avalon",249,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader",-,['Paris Bennet'],bad,No alter egos found.,Bennet du Paris,Marvel Comics
null,null,null,Fabian Cortez,null,null,null,Genosha at time of death; Formerly Asteroid M,250,Unknown,"Annemarie Cortez (sister, deceased)",['-'],bad,No alter egos found.,Fabian Cortez,Marvel Comics
64,28,38,Falcon,22,50,13,"New York, New York; formerly Avengers Mansion, New York City, New York; S.H.I.E.L.D. Helicarrier.",251,"Crimefighter, (former) freelance artist","Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)","['Sam Wilson', '(formerly) Captain America', 'Blackbird', 'Blackwing', 'Brother Superhero']",good,No alter egos found.,Sam Wilson,Marvel Comics
56,100,88,Fallen One II,100,83,85,-,252,-,-,['-'],bad,No alter egos found.,,Marvel Comics
90,100,88,Faora,98,75,95,Phantom Zone; formerly Krypton,253,Serial killer,"Hu-Ul (father, presumably deceased)",['Katie'],bad,No alter egos found.,Faora Hu-Ul,DC Comics
70,28,38,Feral,27,45,28,Base of operations unknown,254,"Formerly Adventurer, Terrorist","Mr. Callasantos (father, first name unrevealed, deceased), Marcella Callasantos (mother, deceased), Lucia Callasantos (Thornn, sister), Matteo Callasantos (brother, deceased), Carolina Callasantos (sister, deceased)",['-'],good,No alter egos found.,Maria Callasantos,Marvel Comics
null,null,null,Fighting Spirit,null,null,null,"SMASH HQ, Antarctica, Earth; New Lancaster",255,-,Bruce Carter (father),"['Yankette', 'Fighting Yank II']",good,No alter egos found.,Carol Carter,DC Comics
70,100,50,Fin Fang Foom,75,23,81,"New York, formerly Valley of the Sleeping Dragon in China",256,-,Fraktur (cousin),['He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation)'],good,No alter egos found.,,Marvel Comics
42,14,38,Firebird,100,40,8,New Mexico,257,"Social worker, adventurer",-,"['Pajaro Del Fuego', 'La Espirita', 'Firemaiden']",good,No alter egos found.,Bonita Juarez,Marvel Comics
28,90,38,Firelord,52,75,63,Mobile; usually in space,258,"Former starship captain, former herald of Galactus",-,['Nova Centurion'],good,No alter egos found.,Pyreus Kril,Marvel Comics
32,55,50,Firestar,71,54,8,"New Warriors Crash Pad, New York City, New York State; Avengers Mansion, New York City, New York State; and formerly Massachusetts Academy, Snow Valley, Massachusetts",259,Student,"Bartholomew Jones (father), Nana (grandmother)","['Angel', 'Anj', 'Lady Comet']",good,No alter egos found.,Angelica Jones,Marvel Comics
42,56,50,Firestorm,100,58,53,"Detroit, Michigan",260,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,Alvin Rusch (father),['The Nuclear Man'],good,No alter egos found.,Jason Rusch,DC Comics
40,80,38,Firestorm,100,58,80,"Detroit, Michigan",260,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,Alvin Rusch (father),['The Nuclear Man'],good,No alter egos found.,Jason Rusch,DC Comics
42,56,50,Firestorm,100,58,53,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania",261,Adventurer; former employee of Bun 'n Run,"Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)","['Ronnie', 'Roy', 'Ronald Rockwell', 'Flamehead']",good,No alter egos found.,Ronald Raymond,DC Comics
40,80,38,Firestorm,100,58,80,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania",261,Adventurer; former employee of Bun 'n Run,"Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)","['Ronnie', 'Roy', 'Ronald Rockwell', 'Flamehead']",good,No alter egos found.,Ronald Raymond,DC Comics
null,null,null,Fixer,null,null,null,Mount Charteris,262,Criminal inventor,No known relatives,['Fixer'],bad,No alter egos found.,Paul Norbert Ebersol,Marvel Comics
32,50,63,Flash,68,100,10,"Keystone City, Kansas",263,"Research Scientist, part-time Director of Garrick Laboratories","Joseph Garrick (father), Joan Williams (wife), Arthur Williams (father-in-law), unnamed adopted son (deceased), Bart Allen (Flash II, ward)","['Jay Garrick', 'Siegfreid the Speedster']",good,No alter egos found.,Jay Garrick,DC Comics
null,null,null,Flash Gordon,null,null,69,-,264,-,-,['-'],good,No alter egos found.,Steven Gordon,null
60,60,88,Flash II,100,100,48,"Central City, Missouri",265,Forensic Scientist,"Henry and Nora (parents), Malcolm Thawne (twin), Iris West Allen (wife), Wally West (Flash III, nephew), Don and Dawn Allen (son and daughter), Bart Allen (Flash IV, grandson), Jenni Ognats (granddaughter)","['The Scarlet Speedster', 'the Fastest Man Alive', 'the Monarch of Motion', 'the Sultan of Speed']",good,Black Racer,Barry Allen,Black Racer
32,60,63,Flash III,100,100,10,"Keystone City, Kansas",266,"Adventurer, Mechanic for the KCPD","Rudolph and Mary West (parents), Ira West (grandfather), Iris Allen (aunt), Barry Allen (Flash II, uncle), Linda Park West (wife), Jai and Iris West (twin children)","['The Fastest Man Alive', 'The Scarlet Speedster; formerly', 'Kid Flash I']",good,Speed Demon,Wally West,Speed Demon
